What is your age?,What is your gender?,What is your highest level of education?,What was your field of study?,How many years have passed since your graduation?,Are you currently employed?,What is your current employment status?,How long did it take to find a job after graduation?,Is your current job related to your field of study?,What was the main reason for working in a job unrelated to your degree? (If applicable),Have you experienced any periods of unemployment since graduation?,How satisfied are you with your current job?,Do you see clear career growth opportunities in your current job?,Have you had to change jobs to find better employment opportunities?,How often have you considered further education or training to improve your job prospects?,Do you feel your degree adequately prepared you for the job market?,What skills do you think were missing from your university education that employers demand? (Check all that apply),Have you had to pursue additional training or certifications to improve employability?,Were there any gaps in your education that you believe should have been addressed?,"On a scale of 1-10, How well did your degree prepare you for the job market?",Have you taken out student loans to finance your education?,"On a scale of 1-10, how would you rate the financial burden of your education?",Do you believe your education offers a good return on investment?,Have you ever faced difficulties in finding a job due to a lack of experience?,What do you think should be improved in Sri Lanka’s higher education system to enhance graduate employability? (Check all that apply),Would you consider leaving Sri Lanka for better job opportunities?,"Overall, how satisfied are you with the quality of education you received?",What improvements would you suggest for the curriculum to better prepare students for the job market?,"If you are unemployed, how long have you been seeking employment?",What do you think is the primary reason for your current unemployment?,Have you applied for jobs related to your field of study while unemployed?,"If yes, what has been the main reason for not securing a job related to your degree?",How often do you face rejections from employers when applying for jobs?,Do you feel that having a bachelor’s degree has made it more difficult to find a job?,What do you think would improve your chances of finding employment? (Check all that apply),Have you taken any steps to improve your employability while unemployed?,How do you feel about your prospects of securing a job in the near future?,What do you think needs to change in the education system or job market to reduce unemployment among bachelor’s degree holders? (Open-ended)
25–30,Female,Bachelor’s Degree,Science & Technology,3 years,Yes,Employed (Full-time),More than 1 year,Somewhat related,Personal preference,,1,Yes,Yes,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills",Yes,Yes,7,Yes,7,Yes,Yes,Stronger university-industry collaboration,Yes,2,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Business & Management,3,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of job opportunities in my field,,4,Somewhat,Yes,Rarely,Somewhat,"Digital Literacy, Industry-Specific Knowledge",Yes,No,7,No,2,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Career guidance & counseling",Yes,2,,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Science & Technology,7,Yes,Self-employed,Less than 3 months,"Yes, highly related",Personal preference,,1,Yes,No,Very often,Somewhat,Communication & Soft Skills,Yes,No,5,Yes,7,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,4,Sri Lanka needs updated curriculum ,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Engineering,3,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,Somewhat,No,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills",No,Yes,10,No,1,Yes,No,Career guidance & counseling,Maybe,5,"Improve soft skill, leadership skills, how to handle critical situations",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Engineering,1 year,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Lack of job opportunities in my field,,1,Somewhat,No,Occasionally,Yes,Industry-Specific Knowledge,Yes,No,1,No,4,Maybe,Yes,More practical training & internships,Yes,1,Should give skills and practical learning,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Engineering,1,Yes,Employed (Full-time),More than 1 year,Somewhat related,Lack of job opportunities in my field,,1,Somewhat,Yes,Occasionally,Somewhat,Communication & Soft Skills,Yes,No,7,No,5,Yes,No,"Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,1,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,3,Yes,Employed (Full-time),Less than 3 months,Not related,Personal preference,,5,Yes,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills",Yes,Yes,7,No,8,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,3,,,,,,,,,,,
25–30,Female,Diploma/Certificate,Engineering,1,No,,,,,,,,,,,,,,,,,,,,,,,Less than 3 months,Prefer to focus on personal projects or further studies,No,Skills mismatch,1,Not sure,Better access to career guidance and resources,"Yes, I have expanded my professional network",1,
25–30,Male,Bachelor’s Degree,Science & Technology,2,Yes,Employed (Full-time),3–6 months,"Yes, highly related",,,3,Somewhat,Yes,Very often,Yes,"Leadership & Management Skills, Industry-Specific Knowledge",Yes,No,7,No,5,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Science & Technology,1.5yrs,Yes,Employed (Full-time),More than 1 year,Somewhat related,Better salary in another sector,,4,Somewhat,Yes,Very often,Somewhat,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,No,5,Yes,6,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,"The curriculum should be more practical and industry-focused, incorporating hands-on training, internships, and real-world case studies. It should align with industry needs by integrating the latest technologies, soft skills development, and professional certifications to enhance employability. Regular updates based on industry feedback will ensure relevance.",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Business & Management,3,Yes,Employed (Full-time),3–6 months,Somewhat related,Personal preference,,3,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Digital Literacy",No,No,4,No,3,Yes,Yes,"More practical training & internships, Career guidance & counseling",Yes,1,,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Science & Technology,7,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,4,Yes,Yes,Very often,Somewhat,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,6,No,3,Yes,No,"More practical training & internships, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,Industry specific education system ,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Science & Technology,3,Yes,Employed (Full-time),3–6 months,Somewhat related,Personal preference,,2,Somewhat,No,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",Yes,Yes,8,No,7,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Career guidance & counseling",Maybe,1,Communication skills ,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Business & Management,4 years,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of job opportunities in my field,,3,No,Yes,Occasionally,Somewhat,Communication & Soft Skills,Yes,Yes,7,No,6,Yes,No,Updated curriculum aligned with industry needs,Yes,4,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Science & Technology,3,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,Lack of job opportunities in my field,,2,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving",Yes,Yes,6,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration",Maybe,2,"The curriculum should incorporate more practical skills, industry-specific training, internships, and soft skills development to better align with job market demands.",,,,,,,,,,
31–35,Male,Diploma/Certificate,Arts & Humanities,?,Yes,Employed (Full-time),More than 1 year,"Yes, highly related",Personal preference,,4,Yes,Yes,Rarely,Yes,Communication & Soft Skills,Yes,Yes,4,Yes,8,Yes,Yes,Stronger university-industry collaboration,Yes,3,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Engineering,4,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Yes,Yes,Occasionally,Yes,Critical Thinking & Problem-Solving,No,Yes,5,No,5,Yes,No,Stronger university-industry collaboration,Yes,2,Adding compulsory apprenticeship to the program ,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,2,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,1,Yes,No,Very often,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,2,No,1,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,3 years,Yes,Employed (Full-time),More than 1 year,Somewhat related,Lack of required skills/experience,,3,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",Yes,Yes,5,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Engineering,2,Yes,Employed (Full-time),3–6 months,"Yes, highly related",,,4,Somewhat,Yes,Very often,Yes,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,Yes,7,No,5,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,2,Yes,Employed (Full-time),Less than 3 months,Somewhat related,,,3,Yes,Yes,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",No,Yes,3,No,6,Yes,No,"Stronger university-industry collaboration, Career guidance & counseling",Yes,4,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Medicine/Health Sciences,One year ,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,,2,Yes,Yes,Occasionally,Yes,Practical/Technical Skills,No,No,6,Yes,5,No,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Other (Please specify),2025,Yes,Employed (Full-time),3–6 months,Somewhat related,Lack of job opportunities in my field,,3,Somewhat,Yes,Occasionally,Yes,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills",Yes,Yes,10,No,2,Yes,Yes,Career guidance & counseling,Maybe,3,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,1 year,Yes,Employed (Full-time),3–6 months,Somewhat related,,,3,Somewhat,No,Occasionally,Somewhat,"Practical/Technical Skills, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,6,No,4,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,Practical training with Good communication skills,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Engineering,3,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,1,Yes,No,Occasionally,Yes,Digital Literacy,Yes,Yes,5,No,5,Maybe,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,2,"More experience, Better & smart thinking ",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Medicine/Health Sciences,2 years and half ,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Somewhat,Yes,Very often,Yes,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,7,Yes,9,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,1,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Engineering,3,No,,,,,,,,,,,,,,,,,,,,,,,3–6 months,Personal or family reasons,No,Other (Please specify),3,"No, having a degree has helped in securing interviews",Better access to career guidance and resources,"No, I have not taken any steps",3,
25–30,Female,Postgraduate Degree,Engineering,1,Yes,Employed (Full-time),3–6 months,"Yes, highly related",,,2,Yes,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,No,6,No,2,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,"	•	Internships & Apprenticeships: Make work experience a mandatory part of the curriculum.
	•	Industry Partnerships: Collaborate with companies for guest lectures, mentorship programs, and hands-on training.
	•	Simulations & Real-World Projects: Use simulations, live projects, and industry challenges to give students practical exposure.
•	Networking & Professionalism: Teach business etiquette, networking skills, and how to navigate workplace dynamics.
	•	CV & Interview Training: Provide career coaching, mock interviews, and job application workshops.
	•	Financial & Business Education: Teach budgeting, investment basics, and entrepreneurial skills.
	•	Freelancing & Gig Economy Awareness: Educate students on alternative career paths, such as freelancing and self-employment.",,,,,,,,,,
25–30,Female,"Diploma/Certificate, Bachelor’s Degree",Other (Please specify),2,Yes,Employed (Full-time),3–6 months,Not related,Lack of required skills/experience,,3,Somewhat,Yes,Very often,Yes,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,No,9,No,8,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,1,More practical senarios in university education ,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Other (Please specify),2,Yes,Employed (Full-time),3–6 months,"Yes, highly related",,,1,Yes,No,Very often,Yes,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,Yes,10,Yes,10,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration",Yes,1,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Science & Technology,1,Yes,Employed (Full-time),Less than 3 months,Not related,Lack of required skills/experience,,5,No,Yes,Very often,Somewhat,"Practical/Technical Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,7,Yes,7,Yes,Yes,Updated curriculum aligned with industry needs,Yes,1,Updated curriculum aligned with industry needs,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,5,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Other (Please specify),Yes,Location limitations (not willing to relocate),4,"No, having a degree has helped in securing interviews","More work experience (e.g., internships, part-time jobs), Networking or connections within the industry","Yes, I have enrolled in additional courses or certifications",1,Providing internship at the end of the degree(last semester)
31–35,Male,Bachelor’s Degree,Business & Management,7,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,4,Somewhat,Yes,Very often,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,5,Yes,8,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,3,fallow professional coursers ,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,Two years,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of required skills/experience,,3,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills",Yes,No,6,Yes,6,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Medicine/Health Sciences,1 1/2 years,Yes,Employed (Full-time),More than 1 year,Not related,Lack of job opportunities in my field,,1,Somewhat,No,Occasionally,Somewhat,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,Yes,4,Yes,4,No,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,3,"More internships 
Industry and university collaboration 
More options to choose on last year subjects rather than having a same subjects for everyone 
Ability to narrow the filed on last year",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,2,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Yes,Yes,Occasionally,Somewhat,Leadership & Management Skills,Yes,Yes,7,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Business & Management,2,No,,,,,,,,,,,,,,,,,,,,,,,3–6 months,Personal or family reasons,Yes,High competition for available roles,3,"No, having a degree has helped in securing interviews",Additional skills or certifications,"Yes, I have enrolled in additional courses or certifications",3,"Yes, education system must be fulfill the gap in job market and must be reduce the unnecessary degree programs."
25–30,Male,Bachelor’s Degree,Science & Technology,3,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,Somewhat,Yes,Very often,Yes,"Practical/Technical Skills, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,7,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,2,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,4,Yes,Employed (Full-time),3–6 months,"Yes, highly related",,,1,Yes,Yes,Very often,Yes,Industry-Specific Knowledge,Yes,Yes,7,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,1,,,,,,,,,,,
25–30,Female,"Diploma/Certificate, Other (Please specify)",Engineering,Undergraduate/ 4 years after diploma,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,Lack of job opportunities in my field,,3,Somewhat,Yes,Rarely,Yes,Leadership & Management Skills,No,No,2,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
25–30,Female,Diploma/Certificate,Other (Please specify),06,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,,5,Yes,Yes,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Digital Literacy",Yes,No,8,No,5,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,5,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,3,Yes,Employed (Full-time),3–6 months,"Yes, highly related",Personal preference,,1,Yes,Yes,Very often,Yes,Digital Literacy,Yes,Yes,1,No,8,Yes,No,More practical training & internships,No,1,,,,,,,,,,,
36+,Female,Bachelor’s Degree,Science & Technology,07,Yes,Employed (Full-time),Less than 3 months,Not related,Better salary in another sector,,2,Yes,Yes,Very often,Yes,Industry-Specific Knowledge,Yes,No,7,No,6,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,"Curriculums should be updated. 
New modules with technology should be added. 
Practicals must me increased with proper industrial trainings.",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,3 months,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Somewhat,Yes,Very often,No,"Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,5,No,8,No,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Maybe,4,Students should have industry exposure opportunities during the unundergraduate time period,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,5,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Yes,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,5,No,1,Maybe,No,"More practical training & internships, Stronger university-industry collaboration",Yes,3,,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Engineering,5,Yes,Self-employed,Less than 3 months,"Yes, highly related",,,3,Somewhat,No,Occasionally,Yes,Leadership & Management Skills,Yes,No,8,No,4,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,1,Updates curriculum aligning with the current practices,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,8 months ,Yes,Employed (Full-time),3–6 months,Somewhat related,Lack of required skills/experience,,5,No,Yes,Very often,No,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",Yes,No,1,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,5,Give to them about the knowledge of industries in the undergraduate period and make a path to do internship ,,,,,,,,,,
18–24,Male,Diploma/Certificate,Engineering, 1 year,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,,3,Yes,Yes,Occasionally,Yes,"Digital Literacy, Industry-Specific Knowledge",Yes,Yes,7,No,6,Maybe,Yes,"Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,4,"Integrate more hands-on projects, industry collaborations, modern tech stacks, soft skills training, and job readiness programs to better prepare students for the job market.",,,,,,,,,,
25–30,Male,Bachelor’s Degree,Engineering,2,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Insufficient skills or qualifications,Yes,Overqualified for available positions,4,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, More work experience (e.g., internships, part-time jobs)","Yes, I have gained work experience through internships or volunteer work",4,That’s it
25–30,Female,Bachelor’s Degree,Science & Technology,2 years,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,5,Yes,No,Very often,Somewhat,"Practical/Technical Skills, Industry-Specific Knowledge",No,Yes,9,Yes,9,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Career guidance & counseling",Maybe,2,,,,,,,,,,,
